Sale_Price,Gr_Liv_Area,Garage_Type,Garage_Cars,Garage_Area,Street,Utilities,Pool_Area,Neighborhood,Screen_Porch,Overall_Qual,Lot_Area,Lot_Frontage,MS_SubClass,Misc_Val,Open_Porch_SF,TotRms_AbvGrd,First_Flr_SF,Second_Flr_SF,Year_Built
244000,2110,Attchd,2,522,Pave,AllPub,0,North_Ames,0,Good,11160,93,One_Story_1946_and_Newer_All_Styles,0,0,8,2110,0,1968
213500,1338,Attchd,2,582,Pave,AllPub,0,Stone_Brook,0,Very_Good,4920,41,One_Story_PUD_1946_and_Newer,0,0,6,1338,0,2001
185000,1187,Attchd,2,420,Pave,AllPub,0,Gilbert,0,Above_Average,7980,0,One_Story_1946_and_Newer_All_Styles,500,21,6,1187,0,1992
394432,1856,Attchd,3,834,Pave,AllPub,0,Stone_Brook,0,Excellent,11394,88,One_Story_1946_and_Newer_All_Styles,0,0,8,1856,0,2010
190000,1844,Attchd,2,546,Pave,AllPub,0,Northwest_Ames,0,Above_Average,11751,105,One_Story_1946_and_Newer_All_Styles,0,122,7,1844,0,1977
149000,NA,Attchd,2,480,Pave,AllPub,0,North_Ames,0,Above_Average,11241,0,One_Story_1946_and_Newer_All_Styles,700,0,5,1004,0,1970
149900,NA,Attchd,2,500,Pave,AllPub,0,North_Ames,0,Average,12537,0,One_Story_1946_and_Newer_All_Styles,0,0,6,1078,0,1971
127500,1069,Attchd,2,440,Pave,AllPub,0,Northpark_Villa,165,Above_Average,4043,53,One_Story_PUD_1946_and_Newer,0,55,4,1069,0,1977
395192,1940,Attchd,3,606,Pave,AllPub,0,Northridge_Heights,0,Excellent,10159,83,One_Story_1946_and_Newer_All_Styles,0,95,8,1940,0,2009
290941,1544,Attchd,3,868,Pave,AllPub,0,Northridge_Heights,0,Very_Good,12883,94,One_Story_1946_and_Newer_All_Styles,0,35,7,1544,0,2009
220000,1541,Attchd,2,532,Pave,AllPub,0,Northridge_Heights,0,Good,12182,95,One_Story_1946_and_Newer_All_Styles,0,70,7,1541,0,2005
275000,1698,Attchd,3,730,Pave,AllPub,0,Northridge_Heights,0,Excellent,11520,90,One_Story_1946_and_Newer_All_Styles,0,74,7,1698,0,2005
320000,2250,Attchd,3,756,Pave,AllPub,0,Northridge_Heights,0,Very_Good,13650,105,Two_Story_1946_and_Newer,0,130,7,1687,563,2002
